District,Commodity,Arrival_Date,Modal_Price,min_price_zero_flag,is_outlier_iqr,records_aggregated,Year,Month,DayOfWeek,WeekOfYear,Quarter,lag_1,lag_3,lag_7,lag_14,lag_21,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,rolling_std_30,days_since_last_observation,month_sin,month_cos,dow_sin,dow_cos,price_change_1d,price_change_7d,price_change_30d
Chengalpattu,Bhindi(Ladies Finger),2026-06-15,5000.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4500.0,6000.0,4500.0,5500.0,5000.0,5500.0,5071.428571428572,5025.0,731.9250547114018,679.4394241096803,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.1111111111111111,0.1111111111111111,-0.09090909090909091
Madurai,Onion,2026-06-15,2900.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,2750.0,2750.0,2900.0,2750.0,2650.0,2400.0,2792.8571428571427,2698.3333333333335,73.19250547113899,98.68386771520963,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.05454545454545454,0.0,0.20833333333333334
Thiruvellore,Onion,2026-06-15,3000.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Dindigul,Onion,2026-06-15,2850.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,3200.0,2750.0,2750.0,2725.0,2500.0,2750.0,2839.285714285714,2718.3333333333335,164.47969913813512,147.38135692084896,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.109375,0.03636363636363636,0.03636363636363636
Namakkal,Tomato,2026-06-15,4200.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,4400.0,4450.0,4500.0,3800.0,4050.0,4250.0,4392.857142857143,4053.3333333333335,73.19250547103897,290.268405319017,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.045454545454545456,-0.06666666666666667,-0.011764705882352941
Tuticorin,Cabbage,2026-06-15,5250.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,5500.0,5250.0,5750.0,5000.0,3750.0,4000.0,5303.571428571428,4720.833333333333,366.97768194758135,704.5750533102405,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.045454545454545456,-0.08695652173913043,0.3125
Namakkal,Bhindi(Ladies Finger),2026-06-15,3750.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,3775.0,3625.0,3300.0,2225.0,2775.0,3950.0,3485.714285714286,3167.5,176.1019726235674,663.6221790685611,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.006622516556291391,0.13636363636363635,-0.05063291139240506
Namakkal,Banana - Green,2026-06-15,2900.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,2850.0,3000.0,2850.0,2850.0,3075.0,3075.0,2967.8571428571427,2944.1666666666665,113.38934190276957,116.27911821704093,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.017543859649122806,0.017543859649122806,-0.056910569105691054
Tuticorin,Coconut,2026-06-15,5500.0,False,False,1.0,2026.0,6.0,0.0,25.0,2.0,6625.0,5500.0,6625.0,6375.0,6375.0,6625.0,6392.857142857143,6445.833333333333,410.9730034002356,287.459392434598,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.16981132075471697,-0.16981132075471697,-0.16981132075471697
Namakkal,Cabbage,2026-06-15,3325.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,3325.0,3500.0,3275.0,2950.0,2550.0,2300.0,3389.285714285714,2959.1666666666665,87.62745818847318,368.56451111112455,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.015267175572519083,0.44565217391304346
Dindigul,Pumpkin,2026-06-15,1800.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,1775.0,1625.0,1775.0,1750.0,1650.0,1625.0,1742.857142857143,1723.3333333333333,53.45224838249355,60.148284197924006,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.014084507042253521,0.014084507042253521,0.1076923076923077
Nagapattinam,Tomato,2026-06-15,4250.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,4750.0,4250.0,3950.0,4000.0,4075.0,3825.0,4282.142857142857,4005.0,341.78279095132524,248.2177853529257,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.10526315789473684,0.0759493670886076,0.1111111111111111
Chengalpattu,Banana - Green,2026-06-15,3750.0,False,False,1.0,2026.0,6.0,0.0,25.0,2.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3733.3333333333335,0.0,91.2870929175277,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Nagapattinam,Pumpkin,2026-06-15,2225.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,2550.0,2650.0,2225.0,2225.0,2200.0,2200.0,2467.8571428571427,2240.8333333333335,163.75431655524594,168.72791468931388,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.12745098039215685,0.0,0.011363636363636364
Namakkal,Coconut,2026-06-15,4200.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,4250.0,4325.0,4500.0,4625.0,4700.0,4750.0,4342.857142857143,4558.333333333333,86.25819491779168,151.19257720630026,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.011764705882352941,-0.06666666666666667,-0.11578947368421053
Tuticorin,Bhindi(Ladies Finger),2026-06-15,3250.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4250.0,3000.0,3000.0,2200.0,2500.0,3000.0,3357.1428571428573,2710.0,475.594865605661,486.879578682376,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.2222222222222222,0.08333333333333333,0.08333333333333333
Nagapattinam,Onion,2026-06-15,2750.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2760.714285714286,2771.6666666666665,28.34733547569203,63.900965042277925,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Namakkal,Green Chilli,2026-06-15,5725.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,5725.0,5600.0,5725.0,5950.0,5700.0,5825.0,5696.428571428572,5745.0,44.32026302133779,121.12973950740722,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,-0.017167381974248927
Tuticorin,Green Chilli,2026-06-15,6375.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,5625.0,5500.0,6750.0,5500.0,7500.0,5625.0,5982.142857142857,5908.333333333333,546.9068868254803,663.822957979169,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.13333333333333333,-0.05555555555555555,0.13333333333333333
Erode,Banana - Green,2026-06-15,3200.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,3200.0,3225.0,3225.0,3225.0,3225.0,2750.0,3185.714285714286,3090.8333333333335,93.38221509065895,192.5871201575398,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.007751937984496124,0.16363636363636364
Namakkal,Mint(Pudina),2026-06-15,4000.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,4000.0,4250.0,4250.0,4250.0,4000.0,4000.0,4178.571428571428,4133.333333333333,121.98750911856692,126.8540658512045,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.058823529411764705,0.0
Dindigul,Mint(Pudina),2026-06-15,4750.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,4750.0,4750.0,4750.0,2900.0,2750.0,2900.0,4678.571428571428,3260.0,121.9875091185614,845.3116136301153,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.6379310344827587
Tuticorin,Mint(Pudina),2026-06-15,4500.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4000.0,4750.0,5000.0,4000.0,3750.0,4000.0,4732.142857142857,4191.666666666667,356.6961492042534,373.8968448312366,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.125,-0.1,0.125
